id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval142_paymentFailure_10%,eval142_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2297,2297,19,0,66,14366,79982,0.1796154134680303,163,10,5,1,4,2,0.37083333333333335
eval143_paymentFailure_10%,eval143_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1255,1255,20,0,52,14380,80069,0.17959509922691677,163,10,0,1,4,2,0.42916666666666664
eval144_paymentFailure_10%,eval144_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1362,1362,28,0,52,16114,88458,0.18216554749146488,167,10,5,1,4,2,0.39166666666666666
eval145_paymentFailure_10%,eval145_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1703,1703,13,0,59,13254,70255,0.18865561170023487,165,10,6,1,4,2,0.375
eval146_paymentFailure_10%,eval146_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1162,1162,8,0,40,16328,98361,0.16600075233070016,156,10,2,1,4,2,0.37083333333333335
eval147_paymentFailure_10%,eval147_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1225,1225,4,0,53,14357,68322,0.210137291062908,153,10,5,1,4,2,0.3458333333333333
eval148_paymentFailure_10%,eval148_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,212,212,24,0,56,16101,78380,0.20542230160755295,165,10,5,1,4,2,0.33333194445023145
eval149_paymentFailure_50%,eval149_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,187,187,0,0,78,16015,48691,0.3289108870222423,2863,13,0,2,0,2,0.3249986458389757
eval14_adHighCpu_on,eval14_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,97,97,0,0,33,17015,92274,0.1843964713787199,2867,13,0,2,192,2,0.3541666666666667
eval14_baseline,eval14_baseline,baseline,off,none,True,False,1282,1282,16,0,53,16108,78279,0.20577677282540655,163,10,5,1,4,2,0.34583189236711515
eval150_paymentFailure_50%,eval150_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,186,186,8,0,42,18507,78793,0.23488127117891183,161,13,1093,2,10,2,0.34166381946817115
eval151_paymentFailure_50%,eval151_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,82,82,0,0,39,17946,88689,0.2023475290058519,2865,13,0,2,0,2,0.2999987500052083
eval152_paymentFailure_50%,eval152_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,137,137,0,0,64,17103,58752,0.2911049836601307,2865,13,1093,2,0,2,0.3166653472277199
eval153_paymentFailure_50%,eval153_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,147,147,0,0,68,16236,51540,0.3150174621653085,2865,13,1093,2,0,2,0.32916666666666666
eval154_paymentFailure_50%,eval154_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,162,162,0,0,74,17693,58740,0.3012087163772557,2865,13,0,2,0,2,0.30416666666666664
eval155_paymentFailure_50%,eval155_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,306,306,0,0,69,14993,49091,0.3054123973844493,159,13,0,2,0,2,0.37916666666666665
eval156_paymentFailure_50%,eval156_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,74,74,0,0,27,21162,118614,0.1784106429257929,2866,13,1,2,97,2,0.3958333333333333
eval157_paymentFailure_50%,eval157_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,107,107,0,0,38,17140,100375,0.17075965130759652,2866,13,0,2,97,2,0.35833333333333334
eval158_paymentFailure_50%,eval158_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,120,120,0,0,47,13533,43435,0.3115690111661103,159,13,1090,2,5,2,0.3749984375065104
eval159_paymentFailure_50%,eval159_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,3383,3383,20,0,45,14626,88677,0.16493566539237908,177,10,26,1,4,2,0.2874988020883246
eval15_adHighCpu_on,eval15_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,59,59,0,0,16,14969,48712,0.3072959435046806,159,13,0,2,5,2,0.3833317361177662
eval15_baseline,eval15_baseline,baseline,off,none,True,False,1051,1051,16,0,61,14347,68260,0.21018165836507471,163,10,5,1,4,2,0.3541651909783709
eval160_paymentFailure_50%,eval160_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1235,1235,16,0,57,16095,88362,0.1821484348475589,163,10,6,1,4,2,0.35
eval161_paymentFailure_50%,eval161_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,3330,3330,12,0,54,14587,90029,0.1620255695387042,159,10,5,1,4,2,0.38333333333333336
eval162_paymentFailure_50%,eval162_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1843,1843,8,0,52,16087,88379,0.18202287873816178,155,10,5,1,4,2,0.3624984895896267
eval163_paymentFailure_50%,eval163_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,224,224,21,0,63,13251,70180,0.18881447705899115,166,10,5,1,4,2,0.34166381946817115
eval164_paymentFailure_50%,eval164_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1851,1851,12,0,64,14363,78360,0.18329504849412967,159,10,0,1,4,2,0.41666493056278936
eval165_paymentFailure_50%,eval165_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,224,224,21,0,63,13251,70180,0.18881447705899115,166,10,5,1,4,2,0.34166381946817115
eval166_paymentFailure_50%,eval166_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1851,1851,12,0,64,14363,78360,0.18329504849412967,159,10,0,1,4,2,0.4166649305627894
eval167_paymentFailure_90%,eval167_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,129,129,0,0,38,18293,80528,0.22716322272998213,2865,13,1090,2,0,2,0.3249986458389757
eval168_paymentFailure_90%,eval168_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,121,121,4,0,47,15848,58620,0.27035141589901057,159,13,0,2,5,2,0.3291652951446036
eval169_paymentFailure_90%,eval169_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,241,241,8,0,44,16080,60622,0.2652502391870938,161,13,1090,2,10,2,0.35416519097837096
eval16_adHighCpu_on,eval16_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,99,99,0,0,42,12445,31560,0.3943282636248416,159,13,0,2,5,2,0.38333173611776616
eval16_baseline,eval16_baseline,baseline,off,none,True,False,2190,2190,5,0,53,17610,88193,0.19967571122424682,153,10,0,1,4,2,0.3958333333333333
eval170_paymentFailure_90%,eval170_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,143,143,0,0,57,19210,68798,0.2792232332335242,2866,13,0,2,0,2,0.3833333333333333
eval171_paymentFailure_90%,eval171_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,186,186,0,0,58,16818,53356,0.31520353849613914,2866,13,0,2,0,2,0.3958333333333333
eval172_paymentFailure_90%,eval172_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,117,117,0,0,47,17686,58773,0.3009204907015126,2866,13,1,2,0,2,0.3958333333333333
eval173_paymentFailure_90%,eval173_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,158,158,0,0,81,16016,50599,0.3165279946243997,2866,13,0,2,5,2,0.3958333333333333
eval174_paymentFailure_90%,eval174_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,85,85,0,0,38,14602,78824,0.1852481477722521,159,13,0,2,5,2,0.36666666666666664
eval175_paymentFailure_90%,eval175_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,162,162,0,0,67,16556,52429,0.3157794350454901,2866,13,1,2,0,2,0.3708348784786603
eval176_paymentFailure_90%,eval176_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,86,86,0,0,28,18240,101491,0.179720369293829,2866,13,0,2,127,2,0.32916666666666666
eval177_paymentUnreachable_on,eval177_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,133,133,4,0,48,16047,78637,0.20406424456680697,159,13,0,2,5,2,0.3041653993108362
eval178_paymentUnreachable_on,eval178_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,104,104,0,0,36,20620,118561,0.17391891094035983,2866,13,0,2,137,2,0.31666666666666665
eval179_paymentUnreachable_on,eval179_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,105,105,0,0,37,17890,83273,0.2148355409316345,2866,13,1,2,5,2,0.32916666666666666
eval17_adManualGc_on,eval17_adManualGc_on,adManualGc,on,adManualGc,False,False,92,92,0,0,31,16460,98535,0.1670472420967169,159,13,0,2,207,2,0.3208333333333333
eval17_baseline,eval17_baseline,baseline,off,none,True,False,1245,1245,20,0,61,14357,68293,0.21022652394828167,164,10,0,1,4,2,0.40000166667361114
eval180_paymentUnreachable_on,eval180_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,57,57,0,0,26,14407,48715,0.2957405316637586,159,13,1094,2,0,2,0.31666666666666665
eval181_paymentUnreachable_on,eval181_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,77,77,0,0,30,18548,110379,0.16803921035704256,2866,13,1094,2,142,2,0.3333333333333333
eval182_paymentUnreachable_on,eval182_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,81,81,0,0,32,20388,108579,0.18777111596165005,2866,13,0,2,142,2,0.3333333333333333
eval183_paymentUnreachable_on,eval183_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,87,87,0,0,31,16261,90463,0.17975304820755447,159,13,1,2,5,2,0.3291652951446036
eval184_paymentUnreachable_on,eval184_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,99,99,0,0,39,16586,91439,0.18138868535307692,2866,13,1,2,147,2,0.3
eval185_productCatalogFailure_on,eval185_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,138,138,4,0,50,16030,78794,0.20344188643805367,159,13,1,2,5,2,0.3
eval186_productCatalogFailure_on,eval186_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,57,57,0,0,9,21147,138610,0.1525647500180362,2868,13,1092,2,247,2,0.3041653993108362
eval187_productCatalogFailure_on,eval187_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,140,140,0,0,60,16831,58895,0.28577977757025214,2868,13,1092,2,0,2,0.2874988020883247
eval188_productCatalogFailure_on,eval188_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,162,162,4,0,44,14964,48752,0.30694125369215625,159,13,0,2,5,2,0.3249986458389757
eval189_productCatalogFailure_on,eval189_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,73,73,0,0,30,16020,48661,0.3292164156100368,2869,13,1,2,0,2,0.32083199653334776
eval18_adManualGc_on,eval18_adManualGc_on,adManualGc,on,adManualGc,False,False,159,159,8,0,61,14376,73283,0.19617100828295786,161,13,0,2,10,2,0.2875
eval18_baseline,eval18_baseline,baseline,off,none,True,False,1783,1783,12,0,53,14346,68320,0.2099824355971897,157,10,0,1,4,2,0.35832736121064646
eval190_productCatalogFailure_on,eval190_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,183,183,8,0,64,14433,48987,0.29462918733541554,161,13,1093,2,10,2,0.32083199653334776
