id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval122_paymentFailure_10%,eval122_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,74,74,0,0,31,14960,108472,0.13791577549966813,2634,8,0,2,14,2,0.3166653472277199
eval123_paymentFailure_10%,eval123_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,167,167,4,0,42,10853,43190,0.2512850196804816,2,8,0,2,1,2,0.3166653472277199
eval124_paymentFailure_10%,eval124_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,57,57,0,0,23,15618,126798,0.12317228978375053,2634,8,0,2,15,2,0.3458304514129049
eval125_paymentFailure_10%,eval125_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,51,51,0,0,19,14106,108624,0.12986080424215643,2634,8,0,2,15,2,0.312498697922092
eval126_paymentFailure_10%,eval126_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,141,141,0,0,59,13362,40685,0.3284257097210274,2634,8,0,2,0,2,0.312498697922092
eval127_paymentFailure_10%,eval127_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,73,73,4,0,33,11941,78690,0.15174736307027575,2,8,0,2,1,2,0.2916666666666667
eval128_paymentFailure_10%,eval128_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,74,74,0,0,28,14963,103085,0.14515205898045302,2634,8,0,2,16,2,0.3125
eval129_paymentFailure_10%,eval129_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1324,1324,11,0,59,11235,88393,0.12710282488432342,6,6,0,1,0,2,0.42916666666666664
eval12_adHighCpu_on,eval12_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,102,102,0,0,36,12695,90444,0.14036309760735924,2,8,0,2,1,2,0.325
eval12_baseline,eval12_baseline,baseline,off,none,True,False,2209,2209,7,0,66,11050,68319,0.1617412432851769,6,6,4,1,0,2,0.3291652951446036
eval130_paymentFailure_10%,eval130_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2074,2074,12,0,59,11060,78339,0.1411812762481012,6,6,0,1,0,2,0.4625
eval131_paymentFailure_10%,eval131_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1228,1228,12,0,54,12238,98310,0.12448377581120944,7,6,4,1,0,2,0.3999983333402778
eval132_paymentFailure_10%,eval132_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,3147,3147,4,0,37,12773,98352,0.12987026191638198,3,6,0,1,0,2,0.35416519097837096
eval133_paymentFailure_10%,eval133_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2215,2215,12,0,49,11070,78502,0.1410155155282668,10,6,12,1,0,2,0.325
eval134_paymentFailure_10%,eval134_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,864,864,36,0,61,11081,78429,0.14128702393247397,20,6,8,1,0,2,0.39166666666666666
eval135_paymentFailure_10%,eval135_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1285,1285,36,0,66,11088,78521,0.14121063155079533,24,6,12,1,0,2,0.5041645659809751
eval136_paymentFailure_10%,eval136_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1716,1716,5,0,40,11066,70256,0.15750967888863585,10,6,8,1,0,2,0.5416644097316261
eval137_paymentFailure_10%,eval137_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2238,2238,15,0,50,12097,87136,0.13882895703268455,6,6,836,1,0,2,0.3625
eval138_paymentFailure_10%,eval138_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2643,2643,4,0,39,12233,99977,0.12235814237274573,4,6,0,1,0,2,0.31666666666666665
eval139_paymentFailure_10%,eval139_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2236,2236,8,0,50,13165,98360,0.13384505896705978,4,6,835,1,0,2,0.30416539931083625
eval13_adHighCpu_on,eval13_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,152,152,8,0,48,11056,68733,0.16085432034102978,4,8,0,2,2,2,0.3416666666666667
eval13_baseline,eval13_baseline,baseline,off,none,True,False,1742,1742,25,0,69,11068,68369,0.16188623498954205,17,6,8,1,0,2,0.37083178820088253
eval140_paymentFailure_10%,eval140_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1869,1869,4,0,40,12413,108266,0.11465279958620435,2,6,0,1,0,2,0.312498697922092
eval141_paymentFailure_10%,eval141_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,326,326,12,0,46,12795,98410,0.1300172746672086,12,6,8,1,0,2,0.35
eval142_paymentFailure_10%,eval142_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2297,2297,19,0,66,11064,79982,0.1383311245030132,11,6,4,1,0,2,0.37083333333333335
eval143_paymentFailure_10%,eval143_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1255,1255,20,0,52,11067,80069,0.13821828672769737,10,6,0,1,0,2,0.42916666666666664
eval144_paymentFailure_10%,eval144_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1362,1362,28,0,52,12146,88458,0.13730810101969296,15,6,4,1,0,2,0.39166666666666666
eval145_paymentFailure_10%,eval145_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1703,1703,13,0,59,11056,70255,0.15736958223613978,13,6,4,1,0,2,0.375
eval146_paymentFailure_10%,eval146_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1162,1162,8,0,40,12239,98361,0.12442939783044092,5,6,0,1,0,2,0.37083333333333335
eval147_paymentFailure_10%,eval147_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1225,1225,4,0,53,11047,68322,0.16169023155059864,2,6,4,1,0,2,0.3458333333333333
eval148_paymentFailure_10%,eval148_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,212,212,24,0,56,12131,78380,0.1547716254146466,14,6,4,1,0,2,0.33333194445023145
eval149_paymentFailure_50%,eval149_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,187,187,0,0,78,13371,48691,0.2746092707071122,2634,8,0,2,0,2,0.3249986458389757
eval14_adHighCpu_on,eval14_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,97,97,0,0,33,14077,92274,0.1525565164618419,2638,8,0,2,38,2,0.3541666666666667
eval14_baseline,eval14_baseline,baseline,off,none,True,False,1282,1282,16,0,53,12095,78279,0.15451142707494986,12,6,4,1,0,2,0.34583189236711515
eval150_paymentFailure_50%,eval150_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,186,186,8,0,42,13587,78793,0.17243917606894013,4,8,832,2,2,2,0.34166381946817115
eval151_paymentFailure_50%,eval151_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,82,82,0,0,39,13935,88689,0.15712207827351757,2636,8,0,2,0,2,0.2999987500052083
eval152_paymentFailure_50%,eval152_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,137,137,0,0,64,14412,58752,0.24530228758169934,2636,8,832,2,0,2,0.3166653472277199
eval153_paymentFailure_50%,eval153_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,147,147,0,0,68,14412,51540,0.279627473806752,2636,8,832,2,0,2,0.32916666666666666
eval154_paymentFailure_50%,eval154_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,162,162,0,0,74,14404,58740,0.24521620701395982,2636,8,0,2,0,2,0.30416666666666664
eval155_paymentFailure_50%,eval155_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,306,306,0,0,69,11698,49091,0.2382921513108309,2,8,0,2,0,2,0.37916666666666665
eval156_paymentFailure_50%,eval156_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,74,74,0,0,27,15476,118614,0.13047363717605004,2637,8,0,2,19,2,0.3958333333333333
eval157_paymentFailure_50%,eval157_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,107,107,0,0,38,14116,100375,0.14063262764632628,2637,8,0,2,19,2,0.35833333333333334
eval158_paymentFailure_50%,eval158_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,120,120,0,0,47,11707,43435,0.26952918153562794,2,8,828,2,1,2,0.3749984375065104
eval159_paymentFailure_50%,eval159_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,3383,3383,20,0,45,11212,88677,0.12643639275122073,25,6,20,1,0,2,0.2874988020883246
eval15_adHighCpu_on,eval15_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,59,59,0,0,16,11675,48712,0.2396740022992281,2,8,0,2,1,2,0.3833317361177662
eval15_baseline,eval15_baseline,baseline,off,none,True,False,1051,1051,16,0,61,11052,68260,0.16191034280691474,11,6,4,1,0,2,0.3541651909783709
eval160_paymentFailure_50%,eval160_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1235,1235,16,0,57,12132,88362,0.13729883886738645,12,6,4,1,0,2,0.35
eval161_paymentFailure_50%,eval161_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,3330,3330,12,0,54,11174,90029,0.12411556276310967,7,6,4,1,0,2,0.38333333333333336
eval162_paymentFailure_50%,eval162_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1843,1843,8,0,52,12126,88379,0.13720453953993597,4,6,4,1,0,2,0.3624984895896267
eval163_paymentFailure_50%,eval163_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,224,224,21,0,63,11067,70180,0.15769449985750927,14,6,4,1,0,2,0.34166381946817115
eval164_paymentFailure_50%,eval164_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1851,1851,12,0,64,11057,78360,0.14110515569167942,8,6,0,1,0,2,0.41666493056278936
eval165_paymentFailure_50%,eval165_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,224,224,21,0,63,11067,70180,0.15769449985750927,14,6,4,1,0,2,0.34166381946817115
eval166_paymentFailure_50%,eval166_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,1851,1851,12,0,64,11057,78360,0.14110515569167942,8,6,0,1,0,2,0.4166649305627894
eval167_paymentFailure_90%,eval167_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,129,129,0,0,38,14918,80528,0.18525233459169482,2636,8,828,2,0,2,0.3249986458389757
eval168_paymentFailure_90%,eval168_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,121,121,4,0,47,11875,58620,0.20257591265779598,2,8,0,2,1,2,0.3291652951446036
eval169_paymentFailure_90%,eval169_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,241,241,8,0,44,12734,60622,0.21005575533634654,4,8,828,2,2,2,0.35416519097837096
eval16_adHighCpu_on,eval16_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,99,99,0,0,42,10673,31560,0.33818124207858047,2,8,0,2,1,2,0.38333173611776616
eval16_baseline,eval16_baseline,baseline,off,none,True,False,2190,2190,5,0,53,12722,88193,0.1442518113682492,2,6,0,1,0,2,0.3958333333333333
eval170_paymentFailure_90%,eval170_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,143,143,0,0,57,15042,68798,0.21864007674641706,2637,8,0,2,0,2,0.3833333333333333
eval171_paymentFailure_90%,eval171_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,186,186,0,0,58,14396,53356,0.26981033060949094,2637,8,0,2,0,2,0.3958333333333333
eval172_paymentFailure_90%,eval172_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,117,117,0,0,47,14396,58773,0.24494240552634713,2637,8,0,2,0,2,0.3958333333333333
eval173_paymentFailure_90%,eval173_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,158,158,0,0,81,13378,50599,0.2643925769283978,2637,8,0,2,1,2,0.3958333333333333
eval174_paymentFailure_90%,eval174_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,85,85,0,0,38,11163,78824,0.14161930376535065,2,8,0,2,1,2,0.36666666666666664
eval175_paymentFailure_90%,eval175_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,162,162,0,0,67,14383,52429,0.2743329073604303,2637,8,0,2,0,2,0.3708348784786603
eval176_paymentFailure_90%,eval176_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,86,86,0,0,28,14984,101491,0.14763870688041303,2637,8,0,2,25,2,0.32916666666666666
eval177_paymentUnreachable_on,eval177_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,133,133,4,0,48,12066,78637,0.1534392207230693,2,8,0,2,1,2,0.3041653993108362
eval178_paymentUnreachable_on,eval178_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,104,104,0,0,36,15632,118561,0.1318477408253979,2637,8,0,2,27,2,0.31666666666666665
eval179_paymentUnreachable_on,eval179_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,105,105,0,0,37,14773,83273,0.17740444081515017,2637,8,0,2,1,2,0.32916666666666666
eval17_adManualGc_on,eval17_adManualGc_on,adManualGc,on,adManualGc,False,False,92,92,0,0,31,12324,98535,0.12507230933170954,2,8,0,2,41,2,0.3208333333333333
eval17_baseline,eval17_baseline,baseline,off,none,True,False,1245,1245,20,0,61,11053,68293,0.16184674856866735,12,6,0,1,0,2,0.40000166667361114
eval180_paymentUnreachable_on,eval180_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,57,57,0,0,26,11701,48715,0.2401929590475213,2,8,828,2,0,2,0.31666666666666665
eval181_paymentUnreachable_on,eval181_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,77,77,0,0,30,15013,110379,0.13601319091493852,2637,8,828,2,28,2,0.3333333333333333
eval182_paymentUnreachable_on,eval182_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,81,81,0,0,32,15522,108579,0.14295582018622385,2637,8,0,2,28,2,0.3333333333333333
eval183_paymentUnreachable_on,eval183_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,87,87,0,0,31,12176,90463,0.13459646485303384,2,8,0,2,1,2,0.3291652951446036
eval184_paymentUnreachable_on,eval184_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,99,99,0,0,39,13982,91439,0.152910683625149,2637,8,0,2,29,2,0.3
